42,AIURA,12,"Comédia, Escola, Shounen, Slice of Life",2013,6.7,https://www.anroll.net/a/us4rPoNjIK
43,Aiyou de Mishi X&Y,16,"Mistério, Suspense",2023,??,https://www.anroll.net/a/Nj30c9Z4EV
44,Ajin 2 (AJIN: Demi-Human),13,"Ação, Mistério, Seinen, Sobrenatural, Terror",2016,7.6,https://www.anroll.net/a/S8KOexHZnJ
45,AJIN: Demi-Human,13,"Ação, Mistério, Seinen, Sobrenatural, Terror",2016,7.4,https://www.anroll.net/a/Oy8TORzEIo
46,Akagi,26,"Jogos, Psicológico, Seinen, Suspense",2005,7.7,https://www.anroll.net/a/fullqiClxk
47,Akame ga KILL!,24,"Ação, Aventura, Drama, Fantasia, Shounen",2014,7.5,https://www.anroll.net/a/ySGYBjXZJS
48,Akatsuki no Yona,24,"Ação, Aventura, Comédia, Fantasia, Romance, Shoujo",2014,8.0,https://www.anroll.net/a/pwTc1QXugQ
49,AKB0048,13,"Ficção Científica, Música",2012,7.4,https://www.anroll.net/a/jihzZZzu1m
50,AKB0048: NEXT STAGE,13,"Ficção Científica, Música",2013,7.6,https://www.anroll.net/a/nqJeqTOSGr
51,Akebi-chan no Sailor-fuku,12,Slice of Life,2022,??,https://www.anroll.net/a/eZADGcuz19
52,Akiba Maid Sensou,12,Ação,2022,??,https://www.anroll.net/a/2fSR7Pm0hJ
53,Akkun to Kanojo (My Sweet Tyrant),25,"Comédia, Escola, Josei, Romance",2018,6.8,https://www.anroll.net/a/GcXFoML0pG
54,Aku no Hana,13,"Drama, Escola, Psicológico, Romance, Shounen",2013,7.2,https://www.anroll.net/a/pDdB5qKasw
55,Akudama Drive,12,"Ação, Ficção Científica",2020,7.7,https://www.anroll.net/a/3xzBQKimB1
56,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,12,Fantasia,2024,??,https://www.anroll.net/a/D1eIMo7sET
57,Akuyaku Reijou nanode Last Boss wo Kattemimashita,12,"Comédia, Fantasia, Romance",2022,??,https://www.anroll.net/a/AtR2rQNONh
58,Aldnoah.Zero,24,"Ação, Ficção Científica, Militar, Robôs Gigantes",2014,7.4,https://www.anroll.net/a/KV8XEkShzE
59,Alice Gear Aegis Expansion,2,"Ação, Ficção Científica",2023,??,https://www.anroll.net/a/KSEe18LTZX
60,ALL OUT!!,25,"Escola, Esportes, Seinen",2016,7.1,https://www.anroll.net/a/8fUDSAhzpb
61,Amaama to Inazuma (Sweetness & Lightning),12,"Comédia, Seinen, Slice of Life",2016,7.5,https://www.anroll.net/a/gvwWknxr5F
62,Amagi Brilliant Park,14,"Comédia, Drama, Fantasia, Magia",2014,7.5,https://www.anroll.net/a/kql2kQPidF
63,Amanchu!,13,"Comédia, Escola, Shounen, Slice of Life",2016,7.3,https://www.anroll.net/a/9rOTWyJREG
64,Amanchu! Advance,12,"Comédia, Escola, Shounen, Slice of Life",2018,7.1,https://www.anroll.net/a/qHITemg44H
65,Ange Vierge,12,"Aventura, Escola, Fantasia, Magia",2016,6.0,https://www.anroll.net/a/eK107RbKAJ
66,Angel Beats,13,"Ação, Comédia, Drama, Escola, Sobrenatural",2010,8.1,https://www.anroll.net/a/Q1ZDDbUD20
67,Angolmois: Genkou Kassenki,12,"Ação, Drama, Histórico, Militar, Samurai",2018,7.1,https://www.anroll.net/a/ufsToRKrUu
68,Anima Yell!,12,"Comédia, Escola, Esportes",2018,6.9,https://www.anroll.net/a/I8paWHBYf4
69,Animegataris,12,"Comédia, Escola, Paródia",2017,6.4,https://www.anroll.net/a/BDZia91TqI
70,Anne Happy (Anne-Happy),12,"Comédia, Escola, Slice of Life",2016,7.0,https://www.anroll.net/a/tamFSw2H2Q
71,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,11,"Drama, Slice of Life, Sobrenatural",2011,8.4,https://www.anroll.net/a/fVM9JgxaA1
72,Another,12,"Mistério, Sobrenatural, Suspense, Terror",2012,7.5,https://www.anroll.net/a/BlvBapjdsp
73,Ansatsu Kyoushitsu,22,"Ação, Comédia, Escola, Shounen",2015,8.1,https://www.anroll.net/a/KndxVtx7KE
74,Ansatsu Kyoushitsu 2,25,"Ação, Comédia, Escola, Shounen",2016,8.5,https://www.anroll.net/a/Ubq6ZwK0YS
75,Ao Ashi,24,"Ação, Drama, Esportes",2022,??,https://www.anroll.net/a/Gcx4agC0j0
76,Ao no Exorcist (Blue Exorcist),25,"Ação, Demônios, Fantasia, Shounen, Sobrenatural",2011,7.5,https://www.anroll.net/a/euiJVLgAa0
77,Ao no Exorcist: Kyoto Fujouou-hen,12,"Ação, Demônios, Fantasia, Shounen, Sobrenatural",2017,7.4,https://www.anroll.net/a/oOdQi7x0mo
78,Ao no Exorcist: Shimane Illuminati-hen,12,"Ação, Escola, Fantasia, Shounen",2024,??,https://www.anroll.net/a/I9siKd70pe
79,Ao no Kanata no Four Rhythm,12,"Drama, Escola, Esportes, Ficção Científica",2016,6.7,https://www.anroll.net/a/Mbtvd0TGnK
80,Ao no Orchestra,24,"Drama, Música",2023,??,https://www.anroll.net/a/MccSqbrc3o
81,Aoi Sekai no Chuushin de (World War Blue),3,"Ação, Aventura, Ecchi, Fantasia, Paródia, Shounen",2012,8.3,https://www.anroll.net/a/nwwuMD4NtV
82,Appare-Ranman!,13,"Comédia, Histórico",2020,7.3,https://www.anroll.net/a/nDqyBNFcZp
83,Araburu Kisetsu no Otome-domo yo.,12,"Comédia, Drama, Escola, Romance, Shounen",2019,7.4,https://www.anroll.net/a/oseWwVwEtH
84,Argonavis from BanG Dream!,13,Música,2020,6.8,https://www.anroll.net/a/rLOtULwqAg
85,Arifureta Shokugyou de Sekai Saikyou,13,"Ação, Aventura, Fantasia, Harém",019,0.0,https://www.anroll.net/a/qMXVNYP6G6
86,Arifureta Shokugyou de Sekai Saikyou 2,12,"Ação, Aventura, Fantasia",2022,??,https://www.anroll.net/a/1TjwwITABd
87,Arknights: Fuyukomori Kaerimichi,8,"Ação, Fantasia",2023,??,https://www.anroll.net/a/7fQ2YtQjSz
88,Arknights: Reimei Zensou,8,"Ação, Fantasia",2022,??,https://www.anroll.net/a/xWwS11XbWn
89,ARP Backstage Pass,12,Música,2020,5.6,https://www.anroll.net/a/80414rCjQ4
90,Ars no Kyojuu,12,"Ação, Aventura, Fantasia",2023,??,https://www.anroll.net/a/bj4KJsQNM1
91,Arte,12,"Drama, Histórico, Romance, Seinen, Slice of Life",2020,7.2,https://www.anroll.net/a/AtLctvZyWA
92,Ashita no Joe,79,"Ação, Drama, Esportes, Shounen, Slice of Life",1970,8.7,https://www.anroll.net/a/pzDIw4usvT
93,Ashita no Joe 2 (Rocky Joe 2),47,"Ação, Drama, Esportes, Shounen, Slice of Life",1980,8.7,https://www.anroll.net/a/RUVuLyduso
94,Asobi Asobase (Workshop Of Fun),12,"Comédia, Escola",2018,8.2,https://www.anroll.net/a/wDLUylZAoM
95,Assassins Pride,12,Fantasia,2019,5.9,https://www.anroll.net/a/n9zNCq7PC2
96,Assault Lily: Bouquet,12,"Ação, Fantasia, Magia",2020,6.5,https://www.anroll.net/a/KD8jpyWXRt
97,Astro Note,5,"Comédia, Ficção Científica, Romance",2024,??,https://www.anroll.net/a/87QYcbllff
98,Atarashii Joushi wa Do Tennen,12,Comédia,2023,??,https://www.anroll.net/a/rpuk5NLT6l
99,Ayaka: A Story of Bonds and Wounds,12,Fantasia,2023,??,https://www.anroll.net/a/RlpzMJQZZx
100,Ayakashi Triangle,12,"Ação, Comédia, Ecchi, Romance, Sobrenatural",2023,??,https://www.anroll.net/a/boiVTLpdEg
101,Azur Lane,12,"Ação, Histórico, Militar",2019,6.3,https://www.anroll.net/a/6wGlYcGUnL
102,Azur Lane: Bisoku Zenshin!,12,"Comédia, Ficção Científica, Militar, Slice of Life",2021,7.1,https://www.anroll.net/a/zyAchSno1D
103,B-Project: Kodou*Ambitious,12,"Música, Shoujo",2016,6.6,https://www.anroll.net/a/t4V02pASSP
104,B-Project: Zecchou*Emotion,12,"Música, Shoujo",2019,6.7,https://www.anroll.net/a/RlTFVb6rBn
105,B: The Beginning,12,"Ação, Mistério, Policial, Psicológico, Sobrenatural, Suspense",2018,6.8,https://www.anroll.net/a/UczWsoRAeL
106,Babylon,12,Suspense,2019,6.8,https://www.anroll.net/a/KHVPYCCJ5x
107,Baka to Test to Shoukanjuu,13,"Comédia, Romance",2010,??,https://www.anroll.net/a/ruC8d4q9dX
108,Baka to Test to Shoukanjuu Ni!,13,"Comédia, Escola, Romance",2011,??,https://www.anroll.net/a/JZiHlkx17P
109,Bakemonogatari,15,"Mistério, Romance, Sobrenatural, Vampiro",2009,8.3,https://www.anroll.net/a/oJe3WR1n4a
110,Baki - O Campeão,26,"Ação, Artes Marciais, Shounen",2018,7.3,https://www.anroll.net/a/i7gvOyZJyq
111,Bakuman,25,"Comédia, Drama, Romance, Shounen",2010,8.2,https://www.anroll.net/a/izdKhxz4TW
112,Bakuman 2,25,"Comédia, Drama, Romance, Shounen",2012,8.4,https://www.anroll.net/a/ghWbvI7tPP
113,Bakuman 3,25,"Comédia, Drama, Romance, Shounen",2012,8.6,https://www.anroll.net/a/GfeX7BGlwj
114,BAKUMATSU,12,"Ação, Histórico, Samurai",2018,5.7,https://www.anroll.net/a/3lYEGzj7Xu
115,BAKUMATSU: Crisis,12,"Ação, Histórico, Samurai",2019,5.7,https://www.anroll.net/a/lChTkMm9bq
116,Bakuten!!,12,Esportes,2021,7.6,https://www.anroll.net/a/3WBKb88VjJ
117,Banana Fish,24,"Ação, Aventura, Drama",2018,??,https://www.anroll.net/a/dLvPH74kho
118,BanG Dream!,13,Música,2017,8.1,https://www.anroll.net/a/wS2G7ELhsf
119,BanG Dream! It's MyGO!!!!!,13,Música,2023,??,https://www.anroll.net/a/9VfGmMb7ku
120,BanG Dream! S2,13,Mistério,2019,7.6,https://www.anroll.net/a/ap9p1VIG8h
121,BanG Dream! S3,13,Música,2020,7.0,https://www.anroll.net/a/6Q2kyGMBwo
